ZONE_CODE,GOLD_ORDERS,AVG_GOLD_SF,AVG_GOLD_DF_NO_EDF,AVG_GOLD_FEES_NO_EDF,PAYG_ORDER_COUNT,AVG_PAYG_DF,PAYG_DF_P10,PAYG_DF_P25,PAYG_DF_P50,PAYG_DF_P75,PAYG_DF_P90,PCT_PAYG_ABOVE_099,PCT_PAYG_ABOVE_149,PCT_PAYG_ABOVE_199,PCT_PAYG_ABOVE_249,PCT_PAYG_ABOVE_299,PCT_PAYG_ABOVE_399,PCT_PAYG_ABOVE_499
SKC,173037,1.4703,0.0683,1.5387,342955,0.8307,0.0,0.49,0.49,1.29,1.79,36.5,18.5,9.0,4.3,1.3,0.3,0.1
EC,142000,1.4303,0.0514,1.4817,378874,0.6897,0.0,0.29,0.79,0.99,1.49,25.3,12.0,3.9,1.7,0.9,0.2,0.0
MMS,135693,1.4914,0.0725,1.5638,389848,0.7552,0.0,0.29,0.79,0.99,1.49,30.3,13.0,4.1,2.1,0.9,0.2,0.0
NHP,127200,1.474,0.0604,1.5344,264961,0.8458,0.0,0.49,0.79,0.99,1.79,29.8,18.8,9.1,4.3,1.3,0.5,0.0
CLA,117683,1.4646,0.0604,1.525,283084,0.8233,0.0,0.49,0.79,0.99,1.79,37.6,16.6,6.8,3.3,2.0,0.6,0.0
CW,91233,1.4385,0.0455,1.484,184337,0.7163,0.0,0.29,0.49,0.79,1.79,21.4,14.4,8.7,3.4,1.2,0.2,0.0
DCN,90304,1.4721,0.0709,1.543,249565,1.1597,0.0,0.49,1.29,1.79,1.99,70.1,39.0,16.7,4.8,1.5,0.4,0.1
DAL,81406,1.4536,0.0466,1.5002,246097,0.7546,0.0,0.29,0.49,1.29,1.49,30.5,20.9,6.3,2.4,1.7,0.5,0.0
WC,77790,1.4528,0.0597,1.5125,201054,0.6974,0.0,0.29,0.49,0.99,1.49,34.6,12.7,5.1,1.7,0.9,0.1,0.0
BEL,77669,1.4645,0.0571,1.5216,139848,0.8243,0.0,0.49,0.79,1.29,1.79,34.6,21.7,8.8,3.1,1.2,0.4,0.0
FUL,74625,1.468,0.0565,1.5245,166301,0.8467,0.0,0.49,0.49,1.29,1.79,42.3,15.8,7.8,3.1,1.5,0.5,0.1
ISL,70995,1.4573,0.0524,1.5096,150783,0.855,0.0,0.49,0.79,0.99,1.79,29.4,18.6,8.3,3.5,1.7,0.7,0.0
BNC,70049,1.4676,0.0488,1.5165,234162,0.7252,0.0,0.0,0.49,0.99,1.79,34.8,18.5,5.0,2.4,1.1,0.3,0.0
MVK,67603,1.4648,0.0541,1.519,166828,0.8803,0.0,0.49,0.49,1.29,1.99,39.9,22.1,13.1,4.3,2.5,0.7,0.1
CAM,65941,1.4383,0.0478,1.4861,152442,0.9795,0.0,0.0,0.99,1.49,1.79,56.5,25.4,7.4,3.1,1.3,0.7,0.0
CNN,64545,1.3948,0.064,1.4588,121522,1.0742,0.0,0.49,0.99,1.49,2.29,57.6,32.3,18.6,5.8,3.5,1.5,0.3
HAM,59663,1.4745,0.0484,1.5229,116720,0.8406,0.0,0.29,0.79,0.99,1.79,29.0,17.7,8.8,4.4,2.5,0.7,0.1
CHI,58480,1.4667,0.0533,1.52,142571,0.8246,0.0,0.29,0.79,0.99,1.79,38.5,17.8,9.0,3.2,2.1,0.9,0.1
FCH,56661,1.4502,0.0388,1.4889,204565,0.5859,0.0,0.0,0.49,0.79,1.29,19.6,8.8,3.9,2.2,1.4,0.2,0.0
DCS,53431,1.5023,0.0868,1.589,117111,1.8634,0.0,1.29,1.99,2.49,2.99,81.0,73.5,54.3,30.3,14.6,1.7,0.3
WEM,51347,1.371,0.0609,1.4319,148916,0.826,0.0,0.29,0.49,1.29,1.79,37.8,17.1,9.2,5.9,4.1,1.3,0.3
SBU,46487,1.458,0.0529,1.5109,116597,0.7638,0.0,0.49,0.49,0.99,1.49,34.3,13.6,6.3,2.6,1.8,0.4,0.0
CRO,44024,1.4151,0.0675,1.4826,157999,0.9099,0.0,0.49,0.79,1.29,1.79,36.1,21.9,9.2,6.1,4.3,1.9,0.2
COR,43822,1.4647,0.122,1.5866,96412,2.3151,0.29,1.29,2.49,3.49,3.49,83.0,72.2,62.0,53.4,45.0,6.6,0.7
STR,43381,1.3836,0.0439,1.4275,96471,0.6606,0.0,0.29,0.29,0.99,1.49,28.4,14.8,7.2,3.3,2.1,0.3,0.0
EAL,42846,1.4507,0.0448,1.4955,109396,0.7148,0.0,0.0,0.49,0.99,1.79,27.2,15.0,6.5,4.4,2.9,1.0,0.1
WIM,41717,1.4818,0.0577,1.5395,101626,0.9057,0.0,0.29,0.79,0.99,1.99,43.3,18.5,10.2,4.9,3.2,1.4,0.0
OXF,41609,1.4177,0.0426,1.4602,130931,0.7012,0.0,0.0,0.49,0.99,1.49,38.4,11.1,4.5,1.7,1.1,0.5,0.0
MC,39949,1.42,0.0485,1.4685,147607,0.8262,0.0,0.0,0.79,0.99,1.99,47.9,16.0,10.2,3.7,2.0,0.7,0.0
VWP,37759,1.4735,0.0598,1.5333,88133,0.8559,0.0,0.29,0.79,1.29,1.79,39.7,18.7,7.5,2.9,1.5,0.5,0.1
TOO,37628,1.4362,0.0635,1.4997,128180,0.896,0.0,0.0,0.79,1.29,1.99,42.0,21.9,12.5,7.2,3.2,0.9,0.1
VKO,36670,1.4312,0.0449,1.4762,104745,0.5503,0.0,0.29,0.29,0.79,1.29,21.9,7.6,3.4,2.0,1.4,0.1,0.0
LBR,36330,1.4221,0.0502,1.4723,77197,0.7577,0.0,0.29,0.79,0.99,1.79,28.7,18.7,6.8,2.5,1.5,0.4,0.0
CKT,36051,1.4533,0.0506,1.5039,95158,0.7885,0.0,0.49,0.79,0.99,1.49,47.0,15.5,5.1,2.6,1.4,0.4,0.0
EMH,35734,1.4297,0.0615,1.4912,88654,0.9665,0.0,0.29,0.79,1.29,2.29,38.0,23.7,16.5,8.2,5.4,1.7,0.3
