ZONE_CODE,DIST_BUCKET,PARTNERS,PCT_PART_ABOVE_099,PCT_PART_ABOVE_149,PCT_PART_ABOVE_199,PCT_PART_ABOVE_249,PCT_PART_ABOVE_299,PCT_PART_ABOVE_399,PCT_PART_ABOVE_499
AB3,5-7,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB3,7+,52,73.1,59.6,44.2,38.5,26.9,9.6,3.8
ABB,0-1.5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABB,1.5-2.5,43,14.0,0.0,0.0,0.0,0.0,0.0,0.0
ABB,2.5-3.5,107,11.2,3.7,1.9,0.0,0.0,0.0,0.0
ABB,3.5-5,225,26.2,5.8,1.8,1.3,0.9,0.9,0.0
ABB,5-7,99,65.7,27.3,7.1,2.0,1.0,1.0,0.0
ABB,7+,54,85.2,72.2,59.3,46.3,37.0,13.0,3.7
ABD,0-1.5,63,19.0,14.3,3.2,0.0,0.0,0.0,0.0
ABD,1.5-2.5,109,39.4,11.0,4.6,3.7,0.9,0.9,0.0
ABD,2.5-3.5,83,63.9,13.3,1.2,1.2,1.2,1.2,0.0
ABD,3.5-5,28,82.1,50.0,17.9,10.7,3.6,3.6,0.0
ABD,5-7,16,81.3,43.8,12.5,6.3,6.3,0.0,0.0
ABD,7+,5,100.0,60.0,20.0,20.0,20.0,0.0,0.0
ABE,2.5-3.5,3,33.3,0.0,0.0,0.0,0.0,0.0,0.0
ABE,3.5-5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABE,7+,14,71.4,50.0,35.7,21.4,14.3,7.1,7.1
ABF,1.5-2.5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABF,3.5-5,4,50.0,25.0,0.0,0.0,0.0,0.0,0.0
ABF,5-7,48,89.6,39.6,14.6,8.3,2.1,0.0,0.0
ABF,7+,184,96.2,88.0,75.0,59.8,46.7,19.6,4.9
ABH,0-1.5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABH,1.5-2.5,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABH,2.5-3.5,44,15.9,9.1,0.0,0.0,0.0,0.0,0.0
ABH,3.5-5,102,31.4,10.8,2.9,2.0,1.0,1.0,0.0
ABH,5-7,54,83.3,44.4,27.8,7.4,0.0,0.0,0.0
ABH,7+,31,90.3,80.6,41.9,12.9,6.5,3.2,3.2
ABI,1.5-2.5,12,8.3,8.3,0.0,0.0,0.0,0.0,0.0
ABI,2.5-3.5,26,7.7,3.8,0.0,0.0,0.0,0.0,0.0
ABI,3.5-5,6,33.3,0.0,0.0,0.0,0.0,0.0,0.0
ABI,5-7,3,66.7,33.3,33.3,0.0,0.0,0.0,0.0
ABI,7+,231,81.4,56.3,30.3,16.5,7.8,2.2,0.9
ABR,0-1.5,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABR,1.5-2.5,15,13.3,6.7,0.0,0.0,0.0,0.0,0.0
ABT,0-1.5,6,16.7,0.0,0.0,0.0,0.0,0.0,0.0
ABT,1.5-2.5,34,5.9,0.0,0.0,0.0,0.0,0.0,0.0
ABT,2.5-3.5,72,16.7,4.2,1.4,1.4,1.4,1.4,0.0
ABT,3.5-5,146,27.4,4.1,1.4,1.4,0.7,0.7,0.0
ABT,5-7,111,41.4,14.4,8.1,4.5,2.7,1.8,0.0
ABT,7+,72,86.1,76.4,62.5,43.1,29.2,12.5,8.3
ACC,0-1.5,5,20.0,0.0,0.0,0.0,0.0,0.0,0.0
ACC,1.5-2.5,8,12.5,12.5,0.0,0.0,0.0,0.0,0.0
ACC,2.5-3.5,9,33.3,22.2,0.0,0.0,0.0,0.0,0.0
ACC,3.5-5,11,45.5,18.2,0.0,0.0,0.0,0.0,0.0
ACC,5-7,22,77.3,45.5,31.8,18.2,9.1,9.1,4.5
ACC,7+,80,77.5,58.8,38.8,31.3,13.8,7.5,2.5
ACG,0-1.5,21,4.8,0.0,0.0,0.0,0.0,0.0,0.0
ACG,1.5-2.5,89,11.2,5.6,2.2,0.0,0.0,0.0,0.0
