ZONE_CODE,DIST_BUCKET,PAYG_ORDERS,AVG_PAYG_DF,PCT_ABOVE_099,PCT_ABOVE_149,PCT_ABOVE_199,PCT_ABOVE_249,PCT_ABOVE_299,PCT_ABOVE_399,PCT_ABOVE_499
AB3,2.5-3.5,4,0.373,25.0,25.0,0.0,0.0,0.0,0.0,0.0
AB3,3.5-5,31,0.249,16.1,9.7,0.0,0.0,0.0,0.0,0.0
AB3,5-7,131,0.889,45.8,42.7,9.9,6.1,4.6,0.0,0.0
AB3,7+,671,1.611,65.7,51.7,38.6,29.4,15.8,8.0,3.4
ABB,0-1.5,917,0.477,16.8,7.6,1.2,0.0,0.0,0.0,0.0
ABB,1.5-2.5,2164,0.679,33.6,23.4,4.8,0.6,0.5,0.0,0.0
ABB,2.5-3.5,3683,0.642,29.8,11.3,3.0,1.5,1.2,0.2,0.0
ABB,3.5-5,4650,0.911,59.7,18.8,4.2,2.8,1.8,1.3,0.0
ABB,5-7,2625,1.168,68.3,52.4,13.1,6.2,2.4,1.5,0.3
ABB,7+,320,2.195,75.3,71.6,62.2,40.9,30.3,12.8,5.3
ABD,0-1.5,12726,0.748,38.0,23.2,4.3,1.7,0.4,0.0,0.0
ABD,1.5-2.5,11359,1.115,66.7,53.7,12.4,7.7,1.0,0.2,0.1
ABD,2.5-3.5,7407,1.163,70.1,62.6,10.7,5.5,2.5,0.9,0.2
ABD,3.5-5,2447,1.34,71.5,66.7,26.4,15.0,5.4,1.8,0.7
ABD,5-7,556,1.378,67.1,64.6,28.2,19.6,8.8,3.8,1.6
ABD,7+,41,1.09,48.8,43.9,26.8,12.2,9.8,4.9,0.0
ABE,0-1.5,163,0.481,8.0,6.7,3.1,0.0,0.0,0.0,0.0
ABE,1.5-2.5,115,0.696,30.4,24.3,14.8,0.0,0.0,0.0,0.0
ABE,2.5-3.5,118,0.493,27.1,9.3,5.9,5.9,1.7,0.0,0.0
ABE,3.5-5,249,0.764,44.6,12.0,6.4,5.2,0.0,0.0,0.0
ABE,5-7,94,1.007,56.4,25.5,12.8,9.6,8.5,0.0,0.0
ABE,7+,185,1.857,58.4,54.6,43.8,37.8,30.3,14.1,5.4
ABF,0-1.5,796,0.671,10.4,0.3,0.0,0.0,0.0,0.0,0.0
ABF,1.5-2.5,591,0.724,16.6,0.5,0.0,0.0,0.0,0.0,0.0
ABF,2.5-3.5,405,0.691,14.6,7.4,1.0,0.0,0.0,0.0,0.0
ABF,3.5-5,407,1.441,73.7,65.8,17.0,4.4,3.4,1.7,1.5
ABF,5-7,2469,1.7,68.9,65.7,40.0,20.8,11.5,7.5,5.3
ABF,7+,4617,2.361,82.1,77.5,66.6,51.8,33.2,12.2,4.8
