ZONE_CODE,SILVER_ORDERS,TOTAL_PARTNERS,AVG_SILVER_FEES,AVG_SILVER_DF,AVG_SILVER_SF,ORDER_P20,ORDER_P25,ORDER_P30,ORDER_P35,ORDER_P40,ORDER_P45,ORDER_P50,ORDER_P55,ORDER_P60,ORDER_P65,ORDER_P70,ORDER_P75,ORDER_P80,ORDER_P85,ORDER_P90,PARTNER_P20,PARTNER_P25,PARTNER_P30,PARTNER_P35,PARTNER_P40,PARTNER_P45,PARTNER_P50,PARTNER_P55,PARTNER_P60,PARTNER_P65,PARTNER_P70,PARTNER_P75,PARTNER_P80
EC,167331,3653,2.6489,0.2087,2.4403,0.972,1.098,1.217,1.33,1.449,1.568,1.701,1.834,1.977,2.135,2.317,2.54,2.814,3.173,3.778,1.619,1.805,2.06,2.372,2.681,3.047,3.445,3.845,4.18,4.486,4.796,5.174,5.652
CLA,145796,3017,2.7596,0.2255,2.5341,1.102,1.266,1.422,1.581,1.743,1.917,2.098,2.288,2.528,2.776,3.029,3.286,3.592,3.969,4.467,2.565,2.904,3.218,3.53,3.83,4.101,4.427,4.74,5.058,5.369,5.649,5.982,6.364
BNC,143062,626,2.7495,0.2087,2.5408,1.074,1.229,1.383,1.55,1.713,1.872,2.031,2.192,2.369,2.564,2.797,3.067,3.358,3.697,4.201,1.736,1.845,1.938,2.024,2.105,2.195,2.292,2.362,2.449,2.55,2.652,2.788,3.014
SKC,131532,3010,2.7677,0.2188,2.5488,0.838,0.96,1.081,1.201,1.325,1.448,1.585,1.755,1.94,2.173,2.463,2.805,3.182,3.593,4.149,1.997,2.465,2.872,3.234,3.476,3.723,3.951,4.146,4.383,4.63,4.909,5.273,5.77
DAL,121384,2909,2.7474,0.2093,2.5381,1.385,1.582,1.78,1.97,2.152,2.35,2.557,2.764,2.979,3.205,3.467,3.745,4.057,4.464,5.015,2.769,3.117,3.442,3.656,3.897,4.15,4.393,4.627,4.94,5.214,5.519,5.8,6.18
NHP,110683,2970,2.779,0.2283,2.5507,0.909,1.04,1.179,1.32,1.46,1.607,1.775,1.952,2.148,2.377,2.619,2.918,3.281,3.734,4.307,1.915,2.279,2.67,3.042,3.319,3.591,3.854,4.091,4.369,4.65,4.965,5.322,5.794
MMS,103278,3175,2.6876,0.2376,2.45,0.764,0.865,0.966,1.071,1.194,1.312,1.436,1.565,1.714,1.87,2.074,2.311,2.628,3.078,3.729,1.472,1.672,1.945,2.284,2.595,3.009,3.362,3.678,4.006,4.321,4.706,5.07,5.458
CAM,103175,338,2.8307,0.2453,2.5854,2.003,2.255,2.539,2.796,3.064,3.287,3.516,3.748,3.991,4.232,4.516,4.844,5.216,5.651,6.229,3.039,3.143,3.234,3.34,3.418,3.531,3.665,3.748,3.86,3.926,4.038,4.129,4.233
FCH,100873,2554,2.6779,0.1686,2.5093,1.179,1.347,1.532,1.704,1.884,2.091,2.312,2.523,2.718,2.941,3.204,3.483,3.805,4.216,4.782,2.44,2.806,3.176,3.548,3.852,4.117,4.489,4.881,5.246,5.648,6.052,6.439,6.882
CW,97870,2212,2.6791,0.2034,2.4756,1.308,1.509,1.686,1.876,2.076,2.31,2.583,2.975,3.46,4.06,4.532,5.126,5.761,6.583,7.639,3.73,4.316,4.794,5.198,5.501,5.798,6.093,6.393,6.754,7.182,7.791,8.286,8.753
WC,94013,3260,2.6479,0.2107,2.4371,0.956,1.086,1.201,1.314,1.424,1.549,1.676,1.799,1.938,2.089,2.291,2.504,2.757,3.088,3.589,1.61,1.799,1.997,2.214,2.452,2.71,2.982,3.293,3.591,3.877,4.226,4.633,5.035
ISL,89254,2841,2.7473,0.2346,2.5127,1.038,1.184,1.334,1.475,1.62,1.772,1.943,2.114,2.314,2.527,2.742,3.003,3.317,3.665,4.133,2.254,2.573,2.834,3.063,3.296,3.514,3.72,3.939,4.166,4.397,4.64,4.936,5.266
MVK,85179,2593,2.8016,0.2358,2.5658,1.261,1.47,1.659,1.849,2.03,2.219,2.43,2.64,2.881,3.15,3.438,3.758,4.124,4.55,5.055,2.494,2.814,3.148,3.569,3.916,4.25,4.566,4.834,5.092,5.392,5.651,5.983,6.297
FUL,84574,2207,2.7911,0.2227,2.5684,1.02,1.159,1.293,1.422,1.564,1.707,1.863,2.056,2.262,2.499,2.774,3.107,3.476,3.927,4.486,2.228,2.538,2.869,3.143,3.422,3.781,4.142,4.548,4.937,5.394,5.829,6.237,6.724
DCN,82957,922,3.0014,0.3661,2.6353,1.311,1.483,1.637,1.801,1.968,2.133,2.33,2.543,2.768,2.999,3.218,3.44,3.699,4.027,4.426,1.967,2.121,2.258,2.378,2.479,2.568,2.675,2.766,2.884,3.022,3.192,3.438,3.883
CNN,82919,2115,2.7772,0.3371,2.4401,1.984,2.267,2.545,2.774,3.039,3.366,3.683,3.985,4.382,4.728,5.067,5.423,5.877,6.472,7.447,4.347,4.796,5.215,5.639,5.986,6.418,6.894,7.314,7.805,8.195,8.58,8.972,9.405
CHI,81571,2107,2.7991,0.2238,2.5753,1.248,1.412,1.579,1.755,1.933,2.121,2.332,2.588,2.851,3.093,3.408,3.747,4.161,4.633,5.295,3.156,3.558,3.989,4.279,4.567,4.933,5.321,5.75,6.052,6.442,6.896,7.383,7.878
WEM,80863,2321,2.6562,0.3152,2.341,1.306,1.541,1.786,2.034,2.339,2.699,3.087,3.485,3.901,4.279,4.631,5.024,5.515,6.181,7.123,3.32,3.936,4.4,4.814,5.183,5.6,6.012,6.414,6.881,7.47,7.917,8.691,9.324
OXF,78797,397,2.656,0.2228,2.4332,1.619,1.901,2.143,2.428,2.738,3.034,3.353,3.679,4.041,4.432,4.88,5.427,6.138,7.109,8.241,2.895,3.057,3.175,3.327,3.543,3.743,4.02,4.406,4.683,4.94,5.286,5.569,5.879
CRO,78794,1433,2.7352,0.3188,2.4164,1.326,1.509,1.676,1.853,2.034,2.234,2.425,2.608,2.809,3.049,3.31,3.623,3.994,4.45,5.096,2.398,2.656,3.143,3.666,4.19,4.745,5.398,5.885,6.317,6.799,7.29,7.891,8.494
BEL,76721,2566,2.7946,0.2114,2.5832,1.262,1.412,1.561,1.702,1.851,2.002,2.148,2.305,2.487,2.709,2.979,3.265,3.637,4.081,4.618,2.248,2.503,2.829,3.17,3.503,3.841,4.115,4.44,4.723,4.974,5.276,5.671,6.028
MC,76533,1206,2.6913,0.2406,2.4507,1.036,1.16,1.29,1.417,1.543,1.656,1.789,1.933,2.097,2.275,2.481,2.746,3.052,3.354,3.766,1.48,1.611,1.764,1.938,2.184,2.371,2.642,3.196,3.712,4.109,4.624,5.265,5.795
TOO,72944,1776,2.7664,0.267,2.4995,1.353,1.548,1.748,1.94,2.134,2.349,2.584,2.808,3.052,3.32,3.62,3.967,4.359,4.817,5.448,2.579,2.964,3.328,3.727,4.137,4.578,4.97,5.367,5.815,6.272,6.64,7.135,7.729
KIN,71753,1253,2.838,0.2912,2.5467,1.263,1.444,1.617,1.787,1.959,2.151,2.332,2.515,2.726,2.989,3.316,3.71,4.124,4.723,5.655,2.677,3.12,3.826,4.53,5.101,5.636,6.218,6.758,7.249,7.913,8.542,9.253,9.847
NTG,71497,632,2.5839,0.3154,2.2685,1.312,1.445,1.582,1.719,1.866,2.013,2.164,2.338,2.501,2.688,2.879,3.112,3.4,3.791,4.511,1.93,2.053,2.199,2.322,2.434,2.545,2.679,2.815,3.019,3.164,3.469,3.96,4.386
CLC,69687,242,2.8183,0.3027,2.5155,1.901,2.163,2.395,2.683,2.939,3.169,3.366,3.59,3.854,4.162,4.536,4.961,5.445,5.923,6.77,3.246,3.322,3.426,3.554,3.628,3.718,3.825,3.913,4.011,4.112,4.287,4.408,4.684
HAM,68949,2142,2.8525,0.2302,2.6223,0.941,1.097,1.234,1.39,1.555,1.726,1.908,2.12,2.372,2.662,2.975,3.33,3.779,4.382,5.087,2.542,3.161,3.676,3.999,4.328,4.68,4.997,5.272,5.573,5.927,6.32,6.707,7.082
GUI,67723,297,2.8497,0.3867,2.463,1.421,1.62,1.807,2.034,2.25,2.483,2.742,2.967,3.196,3.402,3.647,3.894,4.191,4.528,5.154,2.682,2.786,2.874,2.981,3.107,3.233,3.439,4.166,6.145,7.398,8.74,9.816,10.219
EAL,67460,1462,2.81,0.212,2.598,1.116,1.259,1.411,1.549,1.686,1.813,1.942,2.078,2.23,2.416,2.633,2.908,3.236,3.767,4.844,2.26,2.912,3.621,4.245,4.817,5.343,5.913,6.357,6.876,7.4,7.983,8.553,9.241
REA,67326,467,2.6467,0.2589,2.3877,1.512,1.693,1.846,2.009,2.16,2.305,2.438,2.575,2.736,2.915,3.102,3.296,3.49,3.73,4.083,2.046,2.128,2.205,2.318,2.415,2.499,2.598,2.689,2.802,2.941,3.113,3.318,3.59
SOU,64014,452,2.599,0.2366,2.3624,1.119,1.272,1.42,1.571,1.73,1.862,2.016,2.188,2.364,2.578,2.831,3.132,3.534,3.995,4.501,1.89,1.979,2.083,2.189,2.283,2.375,2.524,2.651,2.815,3.021,3.304,3.703,4.368
STR,63666,1952,2.6076,0.2186,2.389,1.229,1.423,1.583,1.74,1.896,2.129,2.389,2.644,2.931,3.354,3.856,4.399,4.951,5.691,6.448,3.255,3.693,4.251,4.684,5.103,5.449,5.758,6.015,6.34,6.641,6.947,7.321,7.693
WIM,63214,1442,2.9084,0.241,2.6674,1.176,1.329,1.474,1.606,1.759,1.913,2.08,2.266,2.45,2.637,2.837,3.126,3.492,4.041,4.796,2.655,3.075,3.446,3.835,4.305,4.663,5.066,5.456,5.938,6.303,6.704,7.246,7.839
LEW,61410,1729,2.7926,0.284,2.5086,1.147,1.316,1.482,1.655,1.843,2.052,2.3,2.56,2.82,3.094,3.425,3.793,4.342,5.036,6.436,2.688,3.212,3.81,4.341,4.949,5.538,6.363,7.018,7.558,7.926,8.297,8.666,9.024
SBU,60853,2042,2.7348,0.2098,2.525,1.145,1.309,1.465,1.62,1.763,1.913,2.069,2.216,2.378,2.562,2.798,3.054,3.394,3.797,4.297,2.034,2.391,2.714,3.022,3.357,3.631,3.917,4.287,4.798,5.35,5.867,6.455,7.088
BRK,60004,1493,2.7845,0.266,2.5185,1.212,1.397,1.57,1.741,1.921,2.14,2.371,2.635,2.907,3.16,3.454,3.763,4.14,4.614,5.282,2.971,3.377,3.73,4.101,4.452,4.757,5.114,5.518,5.905,6.477,7.162,7.738,8.378
